"wild01" "wild02" "wild03" "wild04" "wild05" "wild06" "wild07" "wild08" "wild09" "wild10" "lab01" "lab02" "lab03" "lab04" "lab05" "lab06" "lab07" "lab08" "lab09" "lab10" "fam01" "fam02" "fam03" "fam04" "fam05" "fam06" "fam07" "fam08" "fam09" "fam10" "res01" "res02" "res03" "res04" "res05" "res06" "res07" "res08" "res09" "res10" "hos01" "hos02" "hos03" "hos04" "hos05" "hos06" "hos07" "hos08" "hos09" "hos10"
"wild01" 0 0.123345315408418 0.102329049790463 0.170313702112483 0.1339802552644 0.174134156682819 0.0602233152171281 0.147737372011259 0.13188890213462 0.122976614712491 0.36302143890282 0.296246246527705 0.309393207402364 0.309233629652194 0.322147968981397 0.305156770627859 0.293486031954879 0.326435038415769 0.317495115464087 0.309765671490834 0.318562628792775 0.289292119765897 0.292673391328482 0.279538972792122 0.313000991681363 0.294339903625364 0.287299571942699 0.289576197031344 0.282357578753585 0.299312842290581 0.284624559036429 0.255388014552289 0.272734150978152 0.273240371381568 0.279975211973853 0.281749259433328 0.302705276789243 0.270197644866939 0.260472208315705 0.277045823538156 0.251405446075478 0.250016109739142 0.230986665420249 0.229887978534629 0.286860715977818 0.262570989607222 0.285486761764861 0.391344411830897 0.276062072946224 0.274999415887951
"wild02" 0.123345315408418 0 0.0962563262444659 0.112362471249882 0.109595679747679 0.0200563580638969 0.0808053544079606 0.100625119615244 0.086669160798572 0.0960548823403745 0.277925102066372 0.206384348796983 0.220347840962529 0.231762597516506 0.245375901975585 0.233733549927895 0.221355745783309 0.242283563919387 0.227682029132417 0.228372886789293 0.239756445250497 0.21255564556216 0.210820062317683 0.212171943508901 0.243061798905746 0.217218366584854 0.227076388564839 0.218806328155168 0.230120319523334 0.229131530629678 0.198476691652167 0.214063809959748 0.228077553355277 0.190826994931842 0.200612444563785 0.204932375074199 0.206483396469744 0.22649781900533 0.225129607585985 0.212614020235287 0.201641955384921 0.221176803332363 0.220297668114493 0.236321559456178 0.27540239546886 0.218022172878096 0.213318649409174 0.453969978874606 0.221513630765152 0.226297619672194
"wild03" 0.102329049790463 0.0962563262444659 0 0.107319816462382 0.0600511763023073 0.125133038707821 0.0185236662882716 0.0753660582512814 0.0859298589121629 0.0391669263392163 0.288041325979417 0.237664814556561 0.250774837356284 0.254630694364628 0.257790905101489 0.260438947559746 0.254213003142401 0.258663876146763 0.258986070104183 0.256166626167897 0.259130073426426 0.231032616629883 0.246059952605563 0.239120629434688 0.272732550545524 0.249361835401476 0.237915242936921 0.247967512491135 0.248303415489611 0.255962023616688 0.236490479357663 0.243220251793548 0.255398078680342 0.235441599510779 0.243241847496714 0.228045873062113 0.240598516162862 0.256254775690681 0.257956582578846 0.245051060617564 0.223241847582782 0.252658373435007 0.228778024417447 0.240009391748627 0.302503589926697 0.232318947101748 0.243846072253591 0.466355130339772 0.260451765626176 0.266424516185178
"wild04" 0.170313702112483 0.112362471249882 0.107319816462382 0 0.0506178806493192 0.127802077189063 0.104706155186037 0.019294868576389 0.0162241652959393 0.0557096337670263 0.2880647478738 0.196998169180543 0.200717198658371 0.18843401021339 0.244327650475501 0.195132018304233 0.217999392575185 0.240129917449356 0.210079539512097 0.214426356149191 0.238476036868277 0.216203930338477 0.214511495844013 0.195214698503003 0.194546305585695 0.189392823937426 0.220676121894818 0.188262358788571 0.234613977214601 0.221254136667735 0.205768029952599 0.225052740867242 0.246971489630122 0.250517025902132 0.215072130642997 0.216957391693093 0.228913756705325 0.21747584605615 0.262307884498216 0.202753731480573 0.231321579618533 0.261382940299382 0.240080255009886 0.253228184414995 0.337232734385245 0.252990504361672 0.204926349445574 0.547038659477409 0.239650359177808 0.259931839345476
"wild05" 0.1339802552644 0.109595679747679 0.0600511763023073 0.0506178806493192 0 0.13494781582297 0.0615781089873699 0.0207249688926818 0.0447835449577095 0.0111117585433624 0.302781532309274 0.206812640077234 0.215931469116578 0.213750576301031 0.255734460892321 0.215702748316343 0.230551739431447 0.25530377711351 0.228042139460235 0.233315990457632 0.252259684347962 0.225400532480993 0.217857280469921 0.206702111157974 0.217781503925475 0.212947802168322 0.221492087685017 0.209642291268895 0.243789872813465 0.235311502099219 0.211701341252401 0.234180248832778 0.255704555683603 0.233302750660318 0.222163788533519 0.209581882772337 0.228594995126581 0.235561817211874 0.266645081170488 0.216433969438624 0.217401946263225 0.264861879876283 0.228345034695502 0.234517172210824 0.331050941294891 0.219216564487484 0.223327081408295 0.519264901672564 0.246362704518384 0.259782208132629
"wild06" 0.174134156682819 0.0200563580638969 0.125133038707821 0.127802077189063 0.13494781582297 0 0.120487284872381 0.120884137327187 0.110796367050816 0.120787344060886 0.281339715235708 0.210199630473048 0.222060956100739 0.236333359641519 0.25383634999751 0.240137141579009 0.228630143743913 0.245589470132516 0.229378831997284 0.233981192376652 0.243464044780081 0.223392086035361 0.215516388327775 0.222989660663288 0.245424928355147 0.221812351098621 0.237579638844359 0.226078897868541 0.238979109515234 0.236928166650203 0.206069834317714 0.225749915274268 0.235944715890481 0.197998325444021 0.207374169118772 0.215650611015393 0.210739505492874 0.233085509451816 0.236801189781549 0.218189570326517 0.218505710957852 0.233614904776311 0.243323164088928 0.25761285281567 0.286046684516284 0.236637243440598 0.220808597077257 0.459057293153516 0.2299792672158 0.234650804974472
"wild07" 0.0602233152171281 0.0808053544079606 0.0185236662882716 0.104706155186037 0.0615781089873699 0.120487284872381 0 0.0749517014474181 0.0760990755765948 0.0437022128130685 0.295339822198157 0.235022273305834 0.248792744028399 0.251391301072661 0.260046275507097 0.253962320443477 0.245560052322042 0.263534404194374 0.259118038546821 0.253385071419525 0.259860354463492 0.230282620350914 0.240028863007604 0.230746428487808 0.264922502964694 0.242897042716668 0.232867202559559 0.241196127348365 0.242637606624194 0.248311919351531 0.230815488299399 0.230770822097778 0.244880395851372 0.227454091503786 0.23250880248921 0.224908082750394 0.239946471877296 0.244741371818251 0.243178293857928 0.235362205818331 0.212039919962144 0.236642718166767 0.212545341807121 0.223956152022787 0.284505266152159 0.222191009595775 0.237313933306979 0.44775389082636 0.246017563800259 0.249849029187571
"wild08" 0.147737372011259 0.100625119615244 0.0753660582512814 0.019294868576389 0.0207249688926818 0.120884137327187 0.0749517014474181 0 0.019390883386779 0.0246230548964872 0.288158622510974 0.19251779076703 0.198913985246696 0.191959422995806 0.241386257853347 0.197400333875882 0.216107339659978 0.239740666649694 0.210084188268803 0.214708630658649 0.236909031944645 0.210460088384221 0.207883708836603 0.192323352319803 0.19820535849259 0.192661374762814 0.213155890633526 0.191234106985562 0.233927480090084 0.219517803112016 0.199535382127194 0.222750730942497 0.243341105846235 0.233644667987103 0.209659240685352 0.204681072133565 0.218583470084246 0.219753386652213 0.258529314091603 0.201328195891617 0.215636728504869 0.255660825830446 0.22699811944887 0.23840517201146 0.329823736599595 0.228151514869109 0.2057687951074 0.535747835160985 0.235336525625352 0.253240415790052
"wild09" 0.13188890213462 0.086669160798572 0.0859298589121629 0.0162241652959393 0.0447835449577095 0.110796367050816 0.0760990755765948 0.019390883386779 0 0.0458509777533328 0.28010203298993 0.191888537416143 0.198734228308097 0.189056812495958 0.232641884068688 0.194316857016802 0.20863763188712 0.231742006716573 0.208549843140737 0.207463624484247 0.230332580390772 0.203602204346698 0.206773840928247 0.187434475347235 0.196566670385547 0.187575792318578 0.211033550805238 0.186586092716811 0.228675856653773 0.212343136651861 0.196890651281536 0.211277324392821 0.235131629400093 0.23324139048832 0.203722020763081 0.205805795367914 0.217353937096103 0.213766598206937 0.245653367671768 0.197134846709413 0.214503214627322 0.243442314834696 0.221469611954139 0.239473629104325 0.317621383755905 0.233412022421722 0.19778381348854 0.528443107253111 0.225749634103498 0.244160956541812
"wild10" 0.122976614712491 0.0960548823403745 0.0391669263392163 0.0557096337670263 0.0111117585433624 0.120787344060886 0.0437022128130685 0.0246230548964872 0.0458509777533328 0 0.290393227948886 0.205505955609724 0.21638977378027 0.215569727564854 0.247356459756818 0.21970822334148 0.22831020559844 0.247092320036669 0.227270222479748 0.231094613122097 0.24579532765641 0.217616095446101 0.216631490065015 0.2068452960102 0.224909447950908 0.213500314178861 0.216854315054363 0.212396683553671 0.238408262153492 0.232211474624497 0.209021824804416 0.230778569930809 0.248373383850396 0.22556820636118 0.218859542884267 0.205550940003487 0.222530016623455 0.234707550113464 0.258993156534905 0.216977574020711 0.211502072673184 0.254812689346674 0.223273573040004 0.232585478823125 0.319143841908134 0.214512701775045 0.22053654880195 0.505914472772476 0.242376134366123 0.25446024285375
