Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
Pame_1	0	1.43081255762877	4.74463162151819	3.44718447627036	3.30535478803984	7.82868902557201	61.8618549815906	64.701361731562	64.7370757172921	57.0003738866827	66.3410473681338	60.3622500620987	122.27721489628	117.957630349934	112.647076769385	122.46791653771	123.118522235682	124.004969005317	109.822622428013	104.542555258529	106.313803968186	100.603776949672	105.741211815135	105.847452229828
Pame_2	1.43081255762877	0	3.37616194394104	4.63815608722812	2.29695552576924	6.63997051258165	60.8882761820462	63.6846152609044	63.7284505818834	56.041009092287	65.3481030527741	59.3840847760701	122.858696809694	118.60775771618	113.307503738121	123.065997248095	123.660219317264	124.59145474351	109.262557620946	103.988372249047	105.712436005393	100.07355615554	105.188240968641	105.280663678697
Pame_3	4.74463162151819	3.37616194394104	0	7.93415602360991	3.04118251823285	4.36436499382131	58.097808118406	60.8430596406877	60.8629267758536	53.2556622332573	62.5168032806565	56.5650353457775	123.852553612265	119.779988748784	114.507023193704	124.097102303957	124.54825537453	125.58403018058	108.68942496699	103.40041170307	104.992017744209	99.5468232653465	104.59144307268	104.69454312726
Pame_4	3.44718447627036	4.63815608722812	7.93415602360991	0	5.59666425444554	11.0920321343282	65.284828005273	68.1341285651426	68.1719885042872	60.4189765638451	69.7708052809771	63.7877345501222	122.912051175686	118.40615051317	113.072141517207	123.063703410648	123.863503075175	124.640737475615	110.985580287412	105.769749264912	107.659495661725	101.789726065259	106.989118346737	107.023262818504
Pame_5	3.30535478803984	2.29695552576924	3.04118251823285	5.59666425444554	0	7.15195847700114	61.0770217074786	63.8354916075987	63.8264739275183	56.2139755785026	65.4898935322426	59.5241976761531	125.089087665139	120.860854504327	115.56289251468	125.300535818578	125.873237617833	126.818660067834	110.138501749634	104.913881550685	106.59424073431	101.030716190081	106.127888145186	106.148098258943
Pame_6	7.82868902557201	6.63997051258165	4.36436499382131	11.0920321343282	7.15195847700114	0	54.9546343230227	57.5970311499624	57.7774425512376	50.2278826402254	59.3899448351384	53.5229738458387	121.557562976423	117.66173794897	112.425024090119	121.84779498563	122.162424015679	123.313691372038	105.054053068466	99.6987474416654	101.223467115215	95.8665005251816	100.865997987886	101.059305398866
Pful_1	61.8618549815906	60.8882761820462	58.097808118406	65.284828005273	61.0770217074786	54.9546343230227	0	4.3528977025299	3.74852788055632	5.27357906631797	4.64079242689427	2.37123169506303	120.533664560937	120.07653417281	115.950187372375	121.376940949535	119.283584630151	121.980084702659	107.742424190848	102.012453569903	101.331318486774	99.5058653134221	102.537202385844	104.260560627547
Pful_2	64.701361731562	63.6846152609044	60.8430596406877	68.1341285651426	63.8354916075987	57.5970311499624	4.3528977025299	0	3.22722670860388	9.21120197828357	3.33291519620676	6.21050546203043	122.43820153806	122.154030801994	118.101823640836	123.321512503577	121.107711833491	123.901939502912	105.94294313338	100.301043892671	99.4465510924448	97.9372620359285	100.798202640913	102.516334209754
Pful_3	64.7370757172921	63.7284505818834	60.8629267758536	68.1719885042872	63.8264739275183	57.7774425512376	3.74852788055632	3.22722670860388	0	8.26342991290205	2.05312276645352	4.77973308865153	123.589670015027	123.267293827262	119.197098444256	124.453062744827	122.26822222081	125.020448345939	109.052929669468	103.407594285996	102.581638570204	101.015560397752	103.917127435817	105.608825239183
Pful_4	57.0003738866827	56.041009092287	53.2556622332573	60.4189765638451	56.2139755785026	50.2278826402254	5.27357906631797	9.21120197828357	8.26342991290205	0	9.65617568356545	3.5119014882696	119.89141942632	119.10228871406	114.834155938825	120.677397936811	118.804024360261	121.351756835813	108.518425927267	102.743648673938	102.275869208039	100.067872376123	103.334234004698	104.946275389053
