Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
Pame_1	0	0.0243294502504875	0.0264066075108246	0.0220727842163857	0.0343533640185124	0.0753891044526614	0.0826721623040535	0.124879695174694	0.0871327542152459	0.0726869828391133	0.0989118370855738	0.0799413662000054	0.389650635979191	0.372781103274368	0.358269904712685	0.397145661906363	0.395908956609638	0.397103455629516	0.279481518234449	0.27636656480617	0.299355061006897	0.249430907220687	0.293521300782129	0.264879793686216
Pame_2	0.0243294502504875	0	0.030087338494538	0.0260624567951281	0.0231467440550592	0.0640684143137046	0.0838893605481281	0.115013514496215	0.0903362611980173	0.0764940403306632	0.0901087783990095	0.0844626848134676	0.39415832371795	0.378871555060489	0.365555157785364	0.401386570652399	0.397194502702463	0.400922218932691	0.270227514433066	0.278100567077352	0.293692131659749	0.25221396030812	0.283140868801586	0.26320546358316
Pame_3	0.0264066075108246	0.030087338494538	0	0.0310941734204392	0.0345255619707523	0.0692377267263843	0.0837732272105688	0.120764856860468	0.0821133798819191	0.0738432007414805	0.0937890094005164	0.0787186208390069	0.39659230680586	0.384662548900729	0.3692254940127	0.407409084607373	0.400363057699387	0.406342370845859	0.277275507204981	0.273454167920967	0.291108200400479	0.249915357826326	0.291222651266969	0.262255293054723
Pame_4	0.0220727842163857	0.0260624567951281	0.0310941734204392	0	0.0337512648369784	0.071299909640288	0.0856750196854408	0.130160544915113	0.0983920280801235	0.0759342956330302	0.109619265494836	0.0823292255435347	0.391622079538744	0.370129270561513	0.353951163703603	0.396328618559898	0.3983862921999	0.396211138162129	0.280872934186031	0.279855622018634	0.303047980710957	0.247895113155517	0.294825094093621	0.26485621834447
Pame_5	0.0343533640185124	0.0231467440550592	0.0345255619707523	0.0337512648369784	0	0.0582153452615368	0.0904733408384163	0.111874064332914	0.095510937583933	0.0833946164070382	0.0886871929906327	0.089862068225261	0.405936274111565	0.38801805048552	0.37624057164859	0.413015836222895	0.407843691436875	0.411779385814542	0.274572639652349	0.287464611717908	0.297942801068162	0.265033461373769	0.291399823500019	0.267713553348958
Pame_6	0.0753891044526614	0.0640684143137046	0.0692377267263843	0.071299909640288	0.0582153452615368	0	0.109035429747143	0.079610589267415	0.115150129129754	0.109032615640623	0.115115736116551	0.108360629376357	0.419824914380572	0.412615860903298	0.398530891701015	0.42380927579244	0.425757881880931	0.429452650156459	0.290255369049487	0.298025902331961	0.263410156352793	0.268459532780858	0.264285074202061	0.285969637040882
Pful_1	0.0826721623040535	0.0838893605481281	0.0837732272105688	0.0856750196854408	0.0904733408384163	0.109035429747143	0	0.0560257534258508	0.027831456955234	0.0237787170186228	0.0361276861587029	0.0202467726074091	0.388208807549957	0.382420764034575	0.369261869243485	0.394193567422331	0.389367669002666	0.393902827941352	0.276308594602816	0.273190273602118	0.281705220478246	0.244730979457531	0.282184524081247	0.261039494178136
Pful_2	0.124879695174694	0.115013514496215	0.120764856860468	0.130160544915113	0.111874064332914	0.079610589267415	0.0560257534258508	0	0.0555937469707048	0.0624772947125108	0.0530221410665304	0.0560139330341033	0.420514454068364	0.415611096295583	0.404759441887448	0.426809136231468	0.417646889049749	0.425086317662706	0.282509717931346	0.294602352279241	0.263768220436567	0.268348312117048	0.261675324691508	0.282884087249465
Pful_3	0.0871327542152459	0.0903362611980173	0.0821133798819191	0.0983920280801235	0.095510937583933	0.115150129129754	0.027831456955234	0.0555937469707048	0	0.0275526344702072	0.0310907994160317	0.0238389600813993	0.398152603468194	0.396465656172083	0.38616304088645	0.407484392699901	0.398184285739453	0.406168054281561	0.279279997002334	0.274359042582908	0.280298856087895	0.251259242098207	0.285556085772625	0.264169388770209
Pful_4	0.0726869828391133	0.0764940403306632	0.0738432007414805	0.0759342956330302	0.0833946164070382	0.109032615640623	0.0237787170186228	0.0624772947125108	0.0275526344702072	0	0.0397359693162447	0.0195282478205311	0.388030030373105	0.375529406428306	0.362427485859947	0.396028139589069	0.393582198158269	0.394926473819662	0.279241963638281	0.275094022026736	0.290111570604759	0.245026524728592	0.285912230089289	0.263597898078877
Pful_5	0.0989118370855738	0.0901087783990095	0.0937890094005164	0.109619265494836	0.0886871929906327	0.115115736116551	0.0361276861587029	0.0530221410665304	0.0310907994160317	0.0397359693162447	0	0.0385073226813116	0.40262947671627	0.39981995136318	0.395067079288994	0.413222322341145	0.398716545315121	0.407134314516075	0.275299731777453	0.285082798580594	0.286125260502281	0.265381202642059	0.286145859556691	0.270004442140799
Pful_6	0.0799413662000054	0.0844626848134676	0.0787186208390069	0.0823292255435347	0.089862068225261	0.108360629376357	0.0202467726074091	0.0560139330341033	0.0238389600813993	0.0195282478205311	0.0385073226813116	0	0.393702384527431	0.383334537975666	0.371520775049982	0.399515969685016	0.394240288165026	0.398938982825214	0.281626872831631	0.276298106419998	0.287815689370511	0.248656539809763	0.288277276401389	0.263970879960022
Esin_1	0.389650635979191	0.39415832371795	0.39659230680586	0.391622079538744	0.405936274111565	0.419824914380572	0.388208807549957	0.420514454068364	0.398152603468194	0.388030030373105	0.40262947671627	0.393702384527431	0	0.0435340827272476	0.0513023796638492	0.0280092073568183	0.0397894728254387	0.0336528287239969	0.446666690149303	0.440190383633395	0.449180905167773	0.413012902879352	0.439519168217828	0.438766474318023
