Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
Pame_1	0	1.42872103077396	4.71815522353541	3.45981833714943	3.26558512806509	7.77981131562393	61.8621608297619	64.6745927894635	64.7187624324787	57.0103484984724	66.3284753562362	60.3602320097418	122.278773263201	117.967203932221	112.65177318822	122.466118914232	123.1238480331	124.005117213964	109.807303706424	104.533018557464	106.294123456277	100.598648315836	105.73423042734	105.826776693061
Pame_2	1.42872103077396	0	3.35299903471549	4.65080858884656	2.27066460937862	6.59687940244537	60.8907735616301	63.6604971072791	63.7127190195934	56.0529343925742	65.3379463921015	59.3843253221508	122.860443448198	118.617726772803	113.312346100992	123.064278804718	123.66593832789	124.591803751744	109.248290434893	103.9798057478	105.694109380304	100.069361035787	105.182194930186	105.26127414405
Pame_3	4.71815522353541	3.35299903471549	0	7.92524453915413	3.0538990284192	4.34947567175793	58.1149351063644	60.8352814518705	60.863207087905	53.2814201508089	62.5220964456184	56.5800731484636	123.842120944743	119.777542928652	114.498642222487	124.082743403672	124.542732740331	125.572155181963	108.685274767478	103.40143845642	104.984919960762	99.5518470812858	104.594891543175	104.685949271082
Pame_4	3.45981833714943	4.65080858884656	7.92524453915413	0	5.56796513161687	11.0586269195968	65.2961701209906	68.1188656511337	68.1650500455041	60.4398959278348	69.7694387786294	63.796777818979	122.904628956585	118.404905389429	113.066582191315	123.052907067911	123.860029485737	124.631760307218	110.978227418865	105.768274735221	107.647721819378	101.792158580916	106.990117814866	107.010165953748
Pame_5	3.26558512806509	2.27066460937862	3.0538990284192	5.56796513161687	0	7.14648512628281	61.107171535427	63.8414667095825	63.8403460470168	56.2525141479303	65.5085418000494	59.5523055524903	125.069814869667	120.847792685001	115.544305846431	125.277258688077	125.859186889006	126.797817225585	110.143062592902	104.923651194401	106.596036126096	101.04391858364	106.139986409255	106.1479651783
Pame_6	7.77981131562393	6.59687940244537	4.34947567175793	11.0586269195968	7.14648512628281	0	54.9908786534604	57.609549677115	57.7977550078094	50.2721118951022	59.4149293107339	53.5571415344273	121.533939124019	117.645499787892	112.40197928763	121.819701200553	122.144834950107	123.28856266443	105.060634678606	99.710229251489	101.228247904251	95.8816081390607	100.879986836609	101.061772641691
Pful_1	61.8621608297619	60.8907735616301	58.1149351063644	65.2961701209906	61.107171535427	54.9908786534604	0	4.31862496838395	3.72183258538948	5.26272833260507	4.6252414955884	2.3723804743779	120.548640493083	120.115808220197	115.973530741815	121.385672112966	119.307097110968	121.994936833686	107.728597466229	101.999819780998	101.322414275832	99.5016477034809	102.527756943845	104.250732653396
Pful_2	64.6745927894635	63.6604971072791	60.8352814518705	68.1188656511337	63.8414667095825	57.609549677115	4.31862496838395	0	3.22659954860036	9.16618898460726	3.33282768308166	6.18430029224082	122.424024508231	122.163310726961	118.094250544701	123.300663338332	121.103005350146	123.887635945402	105.929911798971	100.287835620472	99.4397027207149	97.9311652133991	100.788204302523	102.507608398412
Pful_3	64.7187624324787	63.7127190195934	60.863207087905	68.1650500455041	63.8403460470168	57.7977550078094	3.72183258538948	3.22659954860036	0	8.22522348865383	2.05271028155321	4.75775328777985	123.581813174778	123.283255761861	119.196471395616	124.438692319792	122.269489193683	125.012470521475	109.041124100332	103.395884728968	102.575717887596	101.011275702822	103.90853890112	105.601374263067
Pful_4	57.0103484984724	56.0529343925742	53.2814201508089	60.4398959278348	56.2525141479303	50.2721118951022	5.26272833260507	9.16618898460726	8.22522348865383	0	9.62930141701648	3.49585653913487	119.916987378991	119.151645930746	114.868563065028	120.697072490779	118.837447600199	121.377143332073	108.502739100051	102.729904439558	102.264031306229	100.062793278991	103.323641534383	104.933903529623
Pful_5	66.3284753562362	65.3379463921015	62.5220964456184	69.7694387786294	65.5085418000494	59.4149293107339	4.6252414955884	3.33282768308166	2.05271028155321	9.62930141701648	0	6.20418586369096	122.816496193462	122.642777841683	118.613456303224	123.690863609042	121.444356357887	124.233770175916	109.029732731574	103.373954353535	102.50568318663	101.03064779029	103.855366212939	105.627406569028
Pful_6	60.3602320097418	59.3843253221508	56.5800731484636	63.796777818979	59.5523055524903	53.5571415344273	2.3723804743779	6.18430029224082	4.75775328777985	3.49585653913487	6.20418586369096	0	121.378165644219	120.818783598198	116.621199286209	122.19073292993	120.194680877712	122.821648198147	108.956142894026	103.229657196384	102.614346913658	100.679195832563	103.787782559492	105.440678240003
Esin_1	122.278773263201	122.860443448198	123.842120944743	122.904628956585	125.069814869667	121.533939124019	120.548640493083	122.424024508231	123.581813174778	119.916987378991	122.816496193462	121.378165644219	0	7.97599542210404	12.1689695034523	1.57037492270016	4.10256199097616	2.25153688749215	133.136531971832	127.951997321743	129.764271090037	125.196325833555	127.681264957996	131.515615852345
Esin_2	117.967203932221	118.617726772803	119.777542928652	118.404905389429	120.847792685001	117.645499787892	120.115808220197	122.163310726961	123.283255761861	119.151645930746	122.642777841683	120.818783598198	7.97599542210404	0	5.38932379886375	6.96242214030041	11.8424099868857	9.1230970951335	132.401465783262	127.193296400185	129.230901754071	124.252270559212	127.01422237824	130.661970041078
Esin_3	112.65177318822	113.312346100992	114.498642222487	113.066582191315	115.544305846431	112.40197928763	115.973530741815	118.094250544701	119.196471395616	114.868563065028	118.613456303224	116.621199286209	12.1689695034523	5.38932379886375	0	11.5338760682599	15.4048667140479	13.6191978356294	129.572073107164	124.272966622518	126.360938369713	121.223305926579	124.151143865262	127.711108413218
Esin_4	122.466118914232	123.064278804718	124.082743403672	123.052907067911	125.277258688077	121.819701200553	121.385672112966	123.300663338332	124.438692319792	120.697072490779	123.690863609042	122.19073292993	1.57037492270016	6.96242214030041	11.5338760682599	0	5.49847748071695	2.25956227532839	134.070881311405	128.889877035653	130.740679698917	126.107881818745	128.631440189091	132.438375043901
Esin_5	123.1238480331	123.66593832789	124.542732740331	123.860029485737	125.859186889006	122.144834950107	119.307097110968	121.103005350146	122.269489193683	118.837447600199	121.444356357887	120.194680877712	4.10256199097616	11.8424099868857	15.4048667140479	5.49847748071695	0	4.3081607991909	132.852277112133	127.645871501002	129.32708843571	124.967733050971	127.3395997558	131.256954083936
Esin_6	124.005117213964	124.591803751744	125.572155181963	124.631760307218	126.797817225585	123.28856266443	121.994936833686	123.887635945402	125.012470521475	121.377143332073	124.233770175916	122.821648198147	2.25153688749215	9.1230970951335	13.6191978356294	2.25956227532839	4.3081607991909	0	135.291802804282	130.110731690672	131.903649061618	127.369542851249	129.83258329908	133.681204711632
Bger_1	109.807303706424	109.248290434893	108.685274767478	110.978227418865	110.143062592902	105.060634678606	107.728597466229	105.929911798971	109.041124100332	108.502739100051	109.029732731574	108.956142894026	133.136531971832	132.401465783262	129.572073107164	134.070881311405	132.852277112133	135.291802804282	0	6.35971560033567	7.22586689961685	10.083859096876	6.25025057088176	4.01993176344019
Bger_2	104.533018557464	103.9798057478	103.40143845642	105.768274735221	104.923651194401	99.710229251489	101.999819780998	100.287835620472	103.395884728968	102.729904439558	103.373954353535	103.229657196384	127.951997321743	127.193296400185	124.272966622518	128.889877035653	127.645871501002	130.110731690672	6.35971560033567	0	4.49931311649916	4.33766344293186	1.65577322503535	3.89025796843759
Bger_3	106.294123456277	105.694109380304	104.984919960762	107.647721819378	106.596036126096	101.228247904251	101.322414275832	99.4397027207149	102.575717887596	102.264031306229	102.50568318663	102.614346913658	129.764271090037	129.230901754071	126.360938369713	130.740679698917	129.32708843571	131.903649061618	7.22586689961685	4.49931311649916	0	8.131758871585	3.96602627695883	6.00539305653273
Bger_4	100.598648315836	100.069361035787	99.5518470812858	101.792158580916	101.04391858364	95.8816081390607	99.5016477034809	97.9311652133991	101.011275702822	100.062793278991	101.03064779029	100.679195832563	125.196325833555	124.252270559212	121.223305926579	126.107881818745	124.967733050971	127.369542851249	10.083859096876	4.33766344293186	8.131758871585	0	5.54903877982038	6.84068552408884
Bger_5	105.73423042734	105.182194930186	104.594891543175	106.990117814866	106.139986409255	100.879986836609	102.527756943845	100.788204302523	103.90853890112	103.323641534383	103.855366212939	103.787782559492	127.681264957996	127.01422237824	124.151143865262	128.631440189091	127.3395997558	129.83258329908	6.25025057088176	1.65577322503535	3.96602627695883	5.54903877982038	0	4.82155339604537
Bger_6	105.826776693061	105.26127414405	104.685949271082	107.010165953748	106.1479651783	101.061772641691	104.250732653396	102.507608398412	105.601374263067	104.933903529623	105.627406569028	105.440678240003	131.515615852345	130.661970041078	127.711108413218	132.438375043901	131.256954083936	133.681204711632	4.01993176344019	3.89025796843759	6.00539305653273	6.84068552408884	4.82155339604537	0
