gene	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_00001.t1	2.63222633	2.759247464	3.240208986	2.408494489	2.538885759	2.684915213	3.121769717	2.463708765	2.591291647	2.816560797	2.888850382	2.72925909	2.729870313	2.731559076	3.043993607	2.790728256	2.905839931	3.078193087	2.775613178	2.720928517	2.910959024	3.297791559	2.601511117	2.623377611	2.791847404	2.75588956	2.813231195	2.633352156	3.017604836	2.567555182	2.869537831	2.920832542	3.009436756	3.08147939	3.001299643	2.927191048	2.874722223	2.82459476	2.92812393	2.937805755	3.169836834	3.044402863	3.049928685	2.904038937	2.971503089	2.971653907	2.955554596	2.78845603	3.017494379	2.875992324
Pame_00005.t1	6.614131178	6.566920156	6.056039381	4.665569004	5.781464633	6.568804336	6.313537917	5.355943031	5.146822191	6.000236673	7.713139027	6.192377647	6.614776089	6.485951641	7.349480284	6.580370134	4.928967177	7.241001163	6.127323744	6.193897875	7.775300805	6.935884007	6.611806814	6.291612766	6.298335726	6.876958896	7.875823058	6.296914372	6.961021308	7.110551169	6.125045582	6.475509715	8.252249119	6.493925881	7.05220937	6.087490422	7.519494728	7.386802326	7.427329607	6.529527381	7.010634398	7.843682414	6.689033524	6.985637043	8.036234067	5.908640004	7.354522686	6.712251848	7.549422746	7.357499222
Pame_00006.t1	3.004334192	2.647588515	3.3996469	2.655312898	2.51865347	2.68104215	3.176957802	2.656246938	2.79509988	2.831315859	2.744382866	2.301093007	2.289229528	2.588821354	2.552327882	2.440795433	2.620330691	2.716172221	2.389844862	2.479861732	2.572576849	2.819986931	2.247547807	2.571363727	2.413840468	2.747419626	2.55763065	2.57380349	2.567847194	2.475365091	2.509807301	2.601995958	2.6711235	2.55006829	2.512639026	2.643685365	2.510934078	2.64478614	2.613430284	2.892299701	2.631120584	2.787382312	2.763844955	2.584791772	2.110714018	2.365208199	2.803305576	1.421182896	2.512623858	2.291594718
Pame_00007.t2	3.034368923	2.898736567	3.439176298	1.536565215	2.349515315	2.68192821	3.092567729	1.771124953	2.022371364	2.631299889	3.114425331	2.488167918	2.551026218	1.965677175	2.817355157	2.292236955	2.738843482	3.11428206	2.300413699	2.569901774	3.075968968	3.380227964	2.824018312	2.84204153	2.261007198	2.243772649	2.606591465	2.398681452	2.96543892	2.466713249	2.561851546	3.391114676	3.269984652	3.36550638	2.919229468	3.104859961	2.928571197	2.462371719	3.373792961	2.604716596	3.29453106	3.458254686	3.539096758	3.842928563	4.014105299	4.656170269	2.663670242	4.808318115	3.176983325	3.828926021
Pame_00010.t2	2.270074384	2.7732959	2.874578627	2.063799734	2.1373035	2.799251051	2.703074114	2.134608674	2.539188595	2.386430223	2.365969629	2.490634306	2.418068481	2.344848377	2.779490869	2.489540367	2.691489499	2.657955489	2.603264328	2.29766979	2.865499204	3.06782971	2.593999074	2.81090165	2.45384414	2.576759141	2.433437555	2.242404341	2.562562377	2.314716825	2.856206882	2.832126449	2.807078723	3.064910436	2.955301643	2.94148572	3.010384207	2.694262877	3.017668969	2.805226408	3.077166076	2.887601303	2.979628459	3.033045869	2.877214183	2.977992393	2.8012311	3.792376456	3.039373559	3.193841117
Pame_00012.t2	2.479706551	2.341681241	2.499113673	1.736284481	1.729039334	2.257122287	2.202712343	1.880019362	1.942026487	2.247383743	2.06892528	2.163563137	2.044911648	2.018246033	2.407437053	2.112866909	2.247708815	2.324773168	2.072078353	1.768904169	2.451709621	2.77468587	1.990482958	2.227531617	2.237025207	2.059029873	2.113443805	2.10171394	2.721930379	1.805119074	2.310668762	2.581194555	2.538851003	2.964380148	2.145798082	2.411884473	2.555747454	2.292728751	2.489535229	2.366747441	2.401488484	2.653582871	2.552121269	2.777255578	2.453780941	2.59446017	2.467224694	2.887113849	2.433157096	2.61295163
Pame_00013.t1	2.827235733	3.436525666	3.594369396	2.013319323	2.341214396	3.480420242	3.273830652	2.271368899	2.402214634	2.764503275	3.443203489	3.029376906	2.822803555	2.607384765	3.383972419	2.754684442	3.257710669	3.722815726	3.111844269	3.043883402	3.876379424	3.527045306	3.047301061	3.097839992	2.548461286	2.966094488	3.219495365	2.860639074	3.65200456	3.216308959	3.244463928	3.300343408	3.65777718	3.73429775	3.428012376	3.379110772	3.543099892	3.246325993	3.738638151	3.426173493	3.652222598	3.682045111	3.672176385	3.63367532	3.966901075	3.713827763	3.346517279	4.385265359	3.535667301	3.737967919
Pame_00014.t1	6.10105121	5.89122474	5.952899629	5.746538506	5.393412768	5.728110987	5.903561345	5.597099076	5.831459265	5.537094125	7.511721033	7.550184987	7.751959067	7.445950121	8.02314444	7.680113339	7.602357402	8.060014949	7.75566875	7.78491616	7.865529145	7.610390019	7.440835954	7.201496642	7.584571718	7.277612871	7.789024944	7.622110405	7.509687925	7.62469312	7.24937897	7.413805611	7.209550842	6.916846825	7.22903027	7.505414609	7.293425666	7.192598584	7.163377966	7.078353652	7.15932644	6.803859885	7.120538569	6.835065072	6.73718649	6.759515397	7.602698865	5.352977398	6.913954502	6.595361926
Pame_00015.t1	3.800858495	3.037368164	2.76051265	2.685969294	2.491163002	3.033960333	3.301483757	2.792926132	2.919811051	2.605430329	2.090013307	2.927644292	2.538500916	2.539272981	2.292269354	3.073643741	2.919708099	1.864667541	2.409122061	2.566561899	2.391852938	2.572613226	3.204297251	3.2514737	3.575796375	3.20943153	3.072556894	2.768821617	2.340291649	3.170908904	3.100013848	3.070871863	3.386757155	3.582050128	2.982820213	2.864723	2.86588715	3.522758841	3.049726596	3.287144238	3.280561448	2.965710417	3.759773695	3.135022579	3.547980316	3.32668834	3.155483721	3.223227912	3.689377444	3.774386475
Pame_00016.t1	2.938568092	3.400589844	3.87949013	3.49367295	2.963579548	3.510215068	3.510265714	3.216701631	3.225503225	3.511075812	0.300901545	1.701198598	1.806592153	1.405997804	1.460281247	1.669294411	1.094742782	1.140104586	1.966773749	1.454402284	1.592626862	1.77452353	1.511285857	1.658376026	1.677052642	2.109477575	1.490446906	1.966806966	1.808356217	1.449994448	1.604740313	1.389539279	1.368919175	2.062771055	1.545879433	1.584895173	1.388189537	1.902455674	1.728538775	1.789800185	2.326405038	1.777956188	2.181398376	2.598267529	1.178491568	2.010292892	1.623693653	1.173300163	1.830831313	1.781728996
