wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
wild01	0	0.0698797451926829	0.0715989945133712	0.115353592053677	0.0872289060166964	0.0899215769874964	0.0492395068151001	0.0971299181681546	0.0914025692571472	0.0793654197289695	0.18951678620731	0.134759946989095	0.139340524680701	0.143701740323195	0.15797611929731	0.129530923987966	0.132631758507281	0.147024140792106	0.142984024914754	0.15208464648445	0.135377561551017	0.122744668434532	0.127895516140101	0.120548976736173	0.127049486926748	0.122097328887177	0.125411701197873	0.124877794055751	0.127962623901569	0.132072207539801	0.120373233167111	0.113348242162613	0.113857857363142	0.110885912232219	0.112915590398949	0.118959943518422	0.122475567067043	0.112045796484907	0.112352169291236	0.11098565627294	0.104252172678885	0.108117838888643	0.100293511351797	0.106463562608182	0.130293224491895	0.106689947456453	0.117352063454918	0.170840074162954	0.110335037706961	0.111518509653128
wild02	0.0698797451926829	0	0.0656676240787929	0.0876914513845685	0.0735898929682451	0.0276671814607046	0.0555307778960801	0.0741571585074457	0.0674497483180876	0.066716673956654	0.168991197243725	0.110679650437296	0.115980140633075	0.120978119227712	0.136924756378506	0.111033024970899	0.113379496207711	0.124731468906633	0.119489521145995	0.129600455916813	0.116585232865091	0.103179862362372	0.107032390140393	0.103005095149896	0.1098615763009	0.103044999898661	0.109218814821706	0.106596012600165	0.11488299676268	0.114057372928196	0.0989472343028597	0.102803294634838	0.103459757326125	0.0925995880764248	0.0960978446590768	0.0998279048594169	0.0987751465469436	0.102754669618752	0.104130605748662	0.0982644563149214	0.0954685669210963	0.102285930220374	0.100794188064768	0.111812393035925	0.127328085473316	0.0995597330397568	0.100332480472702	0.18242079236956	0.100611840377895	0.103208651257954
wild03	0.0715989945133712	0.0656676240787929	0	0.0856860158651319	0.0583231383428713	0.0757856896607924	0.0294713413639871	0.0674832056294263	0.0685599470218021	0.0445631910329334	0.16812496066187	0.118474482723177	0.123113319098723	0.12785985377135	0.138047521670535	0.120421310860319	0.121761186420092	0.129077711593678	0.126445120666231	0.135534286313305	0.12227577077178	0.109754104325673	0.117358697584777	0.112214393878817	0.121047522476127	0.114928151218979	0.114491338672957	0.116869929360848	0.121853968347353	0.121987779404237	0.111266401843159	0.114168028444584	0.116110921603228	0.107151924460316	0.111653560407175	0.107795114898086	0.110286028013754	0.117343610743692	0.11647989215402	0.112697191319819	0.106844575550657	0.115826454352107	0.109222581797282	0.120218563702448	0.136482314864354	0.108133008620977	0.111989852015997	0.188928724260088	0.116017768449505	0.118740839743837
wild04	0.115353592053677	0.0876914513845685	0.0856860158651319	0	0.0560194829604644	0.0872876700188384	0.0905176063799056	0.0332100463769065	0.0320451967801002	0.0606042156042419	0.16183159776749	0.108232069234757	0.109823823974838	0.107284987650501	0.130883586502153	0.109444787400013	0.115398370096027	0.126121467621464	0.114135969693782	0.119061296128013	0.125383741938395	0.116996457391512	0.113498793654506	0.109406857048633	0.110256356723038	0.109926936625315	0.116925870441371	0.108540792676705	0.125376743647156	0.117972479075505	0.112504830945421	0.122677112803167	0.131533586556615	0.129108737552734	0.124406246969804	0.116614416825188	0.120185316233357	0.128018117762127	0.133683561380605	0.123131919714529	0.131501712896964	0.138013534024543	0.135354864338606	0.151168093210997	0.15507564816371	0.133074214488783	0.117080345741949	0.214536249935213	0.13337354946832	0.138739205114656
wild05	0.0872289060166964	0.0735898929682451	0.0583231383428713	0.0560194829604644	0	0.0808749275192899	0.0608906445727289	0.0327018399419193	0.0462677362634963	0.0240260648826413	0.168871333099135	0.109354137432846	0.112943435303536	0.114642009507667	0.134953606136194	0.109682936746603	0.115478435115143	0.128437121299327	0.117692106050242	0.126128046872824	0.123453446114699	0.112158215172524	0.110974579997904	0.105850270570363	0.109263222306017	0.108110662401718	0.111997374038917	0.108382009732897	0.123076782169506	0.117693710234235	0.107554779393387	0.11662862299718	0.122344428938107	0.113980033930771	0.113476530006273	0.107433824130833	0.112091187759233	0.118737378200746	0.124413580631076	0.113081427687694	0.114729497875575	0.126443792298152	0.118135216115037	0.130922308657453	0.146871242530535	0.11303646514176	0.111586112636897	0.202524255756959	0.120949687382812	0.125128954115376
wild06	0.0899215769874964	0.0276671814607046	0.0757856896607924	0.0872876700188384	0.0808749275192899	0	0.0720495197862357	0.0783512021100207	0.0725730085257044	0.0746180863329269	0.168949099743483	0.11132762864897	0.116220783588053	0.121075033829805	0.137920452156048	0.113340900996369	0.115279770457552	0.125408807797735	0.119595728955958	0.129763852820547	0.11907505606377	0.10716373250971	0.109244269263448	0.106891081957065	0.112278587306538	0.105796845731595	0.112928795278943	0.10937733877846	0.118217899666823	0.116693279047066	0.102048371462834	0.107835479371692	0.108576973794454	0.0984972839813573	0.101412114334301	0.104756168648757	0.101866380536399	0.108336477788513	0.109615635374528	0.103898247810451	0.104334627612401	0.10904786227805	0.111215274280909	0.122117671677696	0.131654055474426	0.108559220421694	0.104600655252096	0.185881527002542	0.107312179289667	0.109572612417149
wild07	0.0492395068151001	0.0555307778960801	0.0294713413639871	0.0905176063799056	0.0608906445727289	0.0720495197862357	0	0.0712143034990455	0.0685744887994076	0.0481955023625389	0.171617812779731	0.117815674321932	0.122827893705082	0.127416867382748	0.140308649999659	0.117034231208793	0.119438646394084	0.13055805251723	0.126999363136473	0.136086918622497	0.121334288338489	0.108143017135443	0.114872391025623	0.108324474334905	0.116363044934637	0.110553494671082	0.112165385591	0.113345876671062	0.118963225439041	0.119580072469984	0.107751965007064	0.108076609759269	0.109240845890238	0.101027929047844	0.104356637508721	0.105003114554336	0.107845798729852	0.109005121514777	0.109451094762893	0.104844898827152	0.0984141882514817	0.10735687112361	0.0992661455120157	0.109173624882578	0.130503319468847	0.100387822758145	0.107039754367604	0.182531818892384	0.107265436974644	0.109699549556669
wild08	0.0971299181681546	0.0741571585074457	0.0674832056294263	0.0332100463769065	0.0327018399419193	0.0783512021100207	0.0712143034990455	0	0.0284562144201777	0.0374281739082864	0.163378147971136	0.104403740264298	0.106923152780646	0.107014662669773	0.130307806725387	0.105148489967164	0.111692137598946	0.123941308199392	0.112096518628854	0.119793282150276	0.120215483545315	0.109458915089154	0.108263173461924	0.102852898254057	0.104897885072044	0.103910089163377	0.109895301721899	0.103709529227998	0.121169570004694	0.11379589445957	0.105172333751012	0.115214142760798	0.122071236344954	0.11673010487269	0.11344438582606	0.107463900073619	0.110972635194745	0.118235602967562	0.124809327966572	0.112808755357402	0.117695706081434	0.127357275608548	0.12188736215564	0.136156461986551	0.147997975819598	0.118361147738041	0.109654437354844	0.206616174999421	0.121968659907851	0.12719143239137
wild09	0.0914025692571472	0.0674497483180876	0.0685599470218021	0.0320451967801002	0.0462677362634963	0.0725730085257044	0.0685744887994076	0.0284562144201777	0	0.0474050785768238	0.161178488160633	0.102762047791789	0.105572283989393	0.105181960165018	0.126398321043419	0.102176627088748	0.108107977472828	0.120348981720425	0.110241646461405	0.116630298313475	0.11669958156893	0.105294032958932	0.106133652986217	0.0990588810080892	0.10228901524273	0.100208541012863	0.107215194982853	0.10032912849936	0.117979544817801	0.109960194098923	0.101858387469974	0.109765009687975	0.117019279038796	0.113557544469539	0.10911406278828	0.105004131229278	0.108446205098409	0.113633971862675	0.119412746695247	0.108286902660369	0.11389194514883	0.121626891152914	0.117309842748099	0.132596595069321	0.143508828588819	0.116451780649201	0.104586946316665	0.20327081532388	0.116868170529037	0.122587580052211
wild10	0.0793654197289695	0.066716673956654	0.0445631910329334	0.0606042156042419	0.0240260648826413	0.0746180863329269	0.0481955023625389	0.0374281739082864	0.0474050785768238	0	0.166286690355015	0.108427432248699	0.112758729445413	0.115219737074952	0.133246040705147	0.10945147090487	0.114094401340311	0.125598694915869	0.117114294056969	0.126170234373748	0.120041565602769	0.107949275123664	0.109543473732425	0.104317415980876	0.109443792010705	0.10678443676366	0.109310886682765	0.107661461956485	0.120327009706056	0.115752997891079	0.104785359978506	0.11303773461125	0.117452598284874	0.108691330492995	0.109390420411198	0.103847369577127	0.107917363592247	0.115415315286187	0.11950586609031	0.109563359468815	0.109156498957893	0.120580332089348	0.11244765409252	0.125415001899114	0.142070578806555	0.107960498520947	0.108327702516741	0.197775820543293	0.116119989197661	0.120184124061208
